,species0,species1,species2
32.6326,0.11954,0.255886,0.642033
32.7327,0.117909,0.258536,0.641059
32.8328,0.116322,0.261243,0.639984
32.9329,0.11478,0.264005,0.63881
33.033,0.113282,0.266822,0.637539
33.1331,0.111827,0.269691,0.636171
33.2332,0.110415,0.272613,0.634709
33.3333,0.109046,0.275585,0.633154
33.4334,0.107719,0.278606,0.631508
33.5335,0.106434,0.281676,0.629772
33.6336,0.105191,0.284793,0.627948
33.7337,0.103988,0.287954,0.626038
33.8338,0.102825,0.29116,0.624044
33.9339,0.101703,0.294409,0.621966
34.034,0.10062,0.297698,0.619809
34.1341,0.0995765,0.301027,0.617572
34.2342,0.0985715,0.304393,0.615258
34.3343,0.0976047,0.307796,0.61287
34.4344,0.0966757,0.311233,0.610408
34.5345,0.0957841,0.314702,0.607875
34.6346,0.0949295,0.318203,0.605274
34.7347,0.0941116,0.321733,0.602605
34.8348,0.0933298,0.325289,0.599872
34.9349,0.0925838,0.328872,0.597077
35.035,0.0918733,0.332477,0.59422
35.1351,0.0911979,0.336105,0.591306
35.2352,0.0905572,0.339751,0.588335
35.3353,0.089951,0.343415,0.585311
35.4354,0.0893788,0.347094,0.582235
35.5355,0.0888405,0.350787,0.57911
35.6356,0.0883357,0.354491,0.575937
35.7357,0.0878641,0.358203,0.57272
35.8358,0.0874255,0.361923,0.56946
35.9359,0.0870196,0.365647,0.56616
36.036,0.0866461,0.369374,0.562822
36.1361,0.086305,0.3731,0.559449
36.2362,0.085996,0.376825,0.556042
36.3363,0.0857188,0.380545,0.552604
36.4364,0.0854733,0.384259,0.549138
36.5365,0.0852595,0.387964,0.545645
36.6366,0.085077,0.391657,0.542128
36.7367,0.0849259,0.395337,0.53859
36.8368,0.084806,0.399001,0.535032
36.9369,0.0847172,0.402648,0.531457
37.037,0.0846595,0.406273,0.527868
37.1371,0.0846327,0.409877,0.524266
37.2372,0.0846369,0.413455,0.520653
37.3373,0.084672,0.417005,0.517033
37.4374,0.0847381,0.420527,0.513406
37.5375,0.0848351,0.424016,0.509776
37.6376,0.0849631,0.427472,0.506145
37.7377,0.085122,0.430891,0.502514
37.8378,0.085312,0.434271,0.498886
37.9379,0.0855331,0.437611,0.495263
38.038,0.0857855,0.440907,0.491647
38.1381,0.0860691,0.444159,0.48804
38.2382,0.0863841,0.447363,0.484444
38.3383,0.0867308,0.450518,0.480861
38.4384,0.087109,0.453621,0.477294
38.5385,0.0875192,0.456671,0.473743
38.6386,0.0879613,0.459665,0.47021
38.7387,0.0884357,0.462601,0.466699
38.8388,0.0889424,0.465478,0.46321
38.9389,0.0894817,0.468293,0.459745
39.039,0.0900539,0.471044,0.456307
39.1391,0.090659,0.47373,0.452896
39.2392,0.0912974,0.476348,0.449514
39.3393,0.0919693,0.478897,0.446164
39.4394,0.092675,0.481375,0.442846
39.5395,0.0934146,0.48378,0.439563
39.6396,0.0941885,0.48611,0.436315
39.7397,0.094997,0.488364,0.433105
39.8398,0.0958403,0.49054,0.429934
39.9399,0.0967186,0.492636,0.426802
40.04,0.0976324,0.494651,0.423713
40.1401,0.0985817,0.496583,0.420666
40.2402,0.099567,0.49843,0.417664
40.3403,0.100589,0.500192,0.414707
40.4404,0.101646,0.501866,0.411798
40.5405,0.102741,0.503452,0.408936
40.6406,0.103873,0.504948,0.406124
40.7407,0.105042,0.506352,0.403363
40.8408,0.106248,0.507663,0.400653
40.9409,0.107492,0.50888,0.397996
41.041,0.108775,0.510003,0.395393
41.1411,0.110095,0.511028,0.392845
41.2412,0.111454,0.511957,0.390353
41.3413,0.112851,0.512787,0.387918
41.4414,0.114287,0.513517,0.385542
41.5415,0.115761,0.514148,0.383224
41.6416,0.117275,0.514676,0.380966
41.7417,0.118827,0.515103,0.37877
41.8418,0.120419,0.515427,0.376635
41.9419,0.122049,0.515647,0.374563
42.042,0.123718,0.515763,0.372555
42.1421,0.125426,0.515774,0.370611
42.2422,0.127173,0.51568,0.368732
42.3423,0.128959,0.51548,0.36692
42.4424,0.130783,0.515173,0.365174
42.5425,0.132645,0.51476,0.363497
42.6426,0.134544,0.514241,0.361888
42.7427,0.136481,0.513614,0.360348
42.8428,0.138455,0.51288,0.358878
42.9429,0.140466,0.51204,0.357479
43.043,0.142512,0.511092,0.356152
43.1431,0.144593,0.510038,0.354897
43.2432,0.146709,0.508878,0.353714
43.3433,0.148859,0.507611,0.352606
43.4434,0.151041,0.506239,0.351572
43.5435,0.153256,0.504762,0.350612
43.6436,0.155501,0.50318,0.349729
43.7437,0.157775,0.501495,0.348921
43.8438,0.160079,0.499708,0.348191
43.9439,0.162409,0.497818,0.347538
44.044,0.164765,0.495829,0.346963
44.1441,0.167145,0.49374,0.346467
44.2442,0.169548,0.491553,0.34605
44.3443,0.171972,0.48927,0.345713
44.4444,0.174414,0.486891,0.345456
44.5445,0.176874,0.48442,0.345281
44.6446,0.17935,0.481858,0.345186
44.7447,0.181838,0.479206,0.345174
44.8448,0.184337,0.476466,0.345244
44.9449,0.186844,0.473642,0.345396
45.045,0.189358,0.470735,0.345632
45.1451,0.191876,0.467748,0.345951
45.2452,0.194394,0.464682,0.346354
45.3453,0.196911,0.461542,0.346841
45.4454,0.199423,0.45833,0.347413
45.5455,0.201929,0.455048,0.34807
45.6456,0.204423,0.451699,0.348811
45.7457,0.206905,0.448287,0.349637
45.8458,0.209371,0.444816,0.350549
45.9459,0.211817,0.441287,0.351545
46.046,0.21424,0.437705,0.352627
46.1461,0.216638,0.434073,0.353794
46.2462,0.219006,0.430395,0.355046
46.3463,0.221342,0.426674,0.356384
46.4464,0.223642,0.422915,0.357805
46.5465,0.225904,0.41912,0.359312
46.6466,0.228122,0.415293,0.360902
46.7467,0.230295,0.411439,0.362576
46.8468,0.232419,0.407561,0.364333
46.9469,0.23449,0.403663,0.366173
47.047,0.236505,0.39975,0.368094
47.1471,0.238462,0.395824,0.370097
47.2472,0.240357,0.391891,0.37218
47.3473,0.242186,0.387953,0.374342
47.4474,0.243947,0.384016,0.376583
47.5475,0.245637,0.380082,0.378901
47.6476,0.247253,0.376155,0.381295
47.7477,0.248793,0.37224,0.383764
47.8478,0.250253,0.368341,0.386307
47.9479,0.251632,0.36446,0.388921
48.048,0.252926,0.360601,0.391605
48.1481,0.254135,0.356769,0.394359
48.2482,0.255256,0.352966,0.397179
48.3483,0.256286,0.349196,0.400064
48.4484,0.257225,0.345462,0.403012
48.5485,0.258071,0.341767,0.406021
48.6486,0.258823,0.338116,0.409089
48.7487,0.259479,0.334509,0.412213
48.8488,0.260039,0.330951,0.415392
48.9489,0.260502,0.327444,0.418622
49.049,0.260867,0.323991,0.421901
49.1491,0.261135,0.320594,0.425226
49.2492,0.261304,0.317255,0.428596
49.3493,0.261376,0.313978,0.432006
49.4494,0.26135,0.310763,0.435454
49.5495,0.261226,0.307614,0.438938
49.6496,0.261007,0.304531,0.442453
49.7497,0.260691,0.301517,0.445998
49.8498,0.260281,0.298573,0.449568
49.9499,0.259778,0.295702,0.453162
50.0501,0.259183,0.292903,0.456775
50.1502,0.258498,0.290178,0.460404
50.2503,0.257724,0.28753,0.464046
50.3504,0.256863,0.284957,0.467698
50.4505,0.255917,0.282463,0.471357
50.5506,0.254889,0.280047,0.475018
50.6507,0.253781,0.277709,0.47868
50.7508,0.252594,0.275452,0.482338
50.8509,0.251332,0.273274,0.485989
50.951,0.249998,0.271178,0.489629
51.0511,0.248593,0.269162,0.493256
51.1512,0.247121,0.267227,0.496867
51.2513,0.245584,0.265374,0.500457
51.3514,0.243985,0.263602,0.504024
51.4515,0.242328,0.261912,0.507564
51.5516,0.240615,0.260303,0.511075
51.6517,0.238849,0.258776,0.514554
51.7518,0.237034,0.25733,0.517997
51.8519,0.235172,0.255966,0.521401
51.952,0.233266,0.254682,0.524763
52.0521,0.231319,0.253478,0.528082
52.1522,0.229335,0.252355,0.531353
52.2523,0.227316,0.251312,0.534574
52.3524,0.225265,0.250348,0.537744
52.4525,0.223186,0.249463,0.540858
52.5526,0.22108,0.248657,0.543915
52.6527,0.218952,0.247929,0.546913
52.7528,0.216803,0.247278,0.549849
52.8529,0.214637,0.246705,0.552721
